antigen,folder_name,pdb_file,chain
Hs~MGC:BC011365.1~uORF:IOH9656,../../antigens/alphafold_pdb/,Q04760.pdb,A
Hs~Ref:NM_003491.1~uORF:IOH3480,../../antigens/alphafold_pdb/,P41227.pdb,A
Hs~Ref:NM_015933.1~uORF:IOH3769,../../antigens/alphafold_pdb/,Q9Y2S6.pdb,A
Hs~Ref:NM_012279.1~uORF:IOH6492,../../antigens/alphafold_pdb/,Q9UL40.pdb,A
Hs~MGC:BC007315.1~uORF:IOH5888,../../antigens/alphafold_pdb/,Q9UIV1.pdb,A
Hs~MGC:NM_152362.1~uORF:IOH10838,../../antigens/alphafold_pdb/,Q8WVP5.pdb,A
Hs~Ref:NM_205853.1~uORF:IOH43061,../../antigens/alphafold_pdb/,Q8IVN3.pdb,A
Hs~Ref:NM_012110.1~uORF:IOH22161,../../antigens/alphafold_pdb/,Q9UKJ5.pdb,A
Hs~Ref:NM_153612.2~uORF:IOH35580,../../antigens/alphafold_pdb/,Q8IZT8.pdb,A
Hs~Ref:NM_183382.1~uORF:IOH40957,../../antigens/alphafold_pdb/,O43567.pdb,A
Hs~Ref:NM_018280.1~uORF:IOH41065,../../antigens/alphafold_pdb/,Q9NV39.pdb,A
Hs~Ref:NM_033310.1~uORF:IOH40958,../../antigens/alphafold_pdb/,Q9NYG8.pdb,A
Hs~Ref:NM_025234.1~uORF:IOH12997,../../antigens/alphafold_pdb/,Q9GZS3.pdb,A
Hs~Ref:NM_012456.1~uORF:IOH23086,../../antigens/alphafold_pdb/,P62072.pdb,A
Hs~Ref:NM_005034.2~uORF:IOH10479,../../antigens/alphafold_pdb/,P53803.pdb,A
Hs~Ref:NM_017722.1~uORF:IOH3979,../../antigens/alphafold_pdb/,Q9NXH9.pdb,A
Hs~MGC:BC010889.1~uORF:IOH12754,../../antigens/alphafold_pdb/,Q9Y3C0.pdb,A
Hs~MGC:BC008365.1~uORF:IOH5958,../../antigens/alphafold_pdb/,Q6UW68.pdb,A
Hs~Ref:NM_144593.1~uORF:IOH11628,../../antigens/alphafold_pdb/,Q8TAI7.pdb,A
Hs~MGC:BC029399.1~uORF:IOH23147,../../antigens/alphafold_pdb/,P05062.pdb,A
Hs~Ref:NM_017572.1,../../antigens/alphafold_pdb/,Q9HBH9.pdb,A
Hs~Ref:NM_005734.1,../../antigens/alphafold_pdb/,Q9H422.pdb,A
Hs~Ref:NM_001619.2,../../antigens/alphafold_pdb/,P25098.pdb,A
Hs~Ref:NM_017593.2,../../antigens/alphafold_pdb/,Q9NSY1.pdb,A
Hs~MGC:BC035281.1~uORF:IOH27313,../../antigens/alphafold_pdb/,Q06828.pdb,A
Hs~Ref:NM_030770.1~uORF:IOH39634,../../antigens/alphafold_pdb/,Q9H3S3.pdb,A
Hs~Ref:NM_005002.3~uORF:IOH13734,../../antigens/alphafold_pdb/,Q16795.pdb,A
Hs~MGC:NM_181533.3~uORF:IOH22363,../../antigens/alphafold_pdb/,Q7Z5M8.pdb,A
Hs~MGC:BC022957.1~uORF:IOH22373,../../antigens/alphafold_pdb/,Q5T890.pdb,A
Hs~MGC:NM_173662.1~uORF:IOH22640,../../antigens/alphafold_pdb/,Q8N4F7.pdb,A
Hs~MGC:NM_152389.1~uORF:IOH22642,../../antigens/alphafold_pdb/,Q6ZU64.pdb,A
Hs~Ref:NM_002143.2~uORF:IOH4454,../../antigens/alphafold_pdb/,P84074.pdb,A
Hs~Ref:NM_004436.1~uORF:IOH3457,../../antigens/alphafold_pdb/,O43768.pdb,A
Hs~MGC:BC013957.1~uORF:IOH13899,../../antigens/alphafold_pdb/,A0FGR8.pdb,A
Hs~Ref:NM_024619.2~uORF:IOH6899,../../antigens/alphafold_pdb/,Q9HA64.pdb,A
Hs~Ref:NM_145021.1~uORF:IOH10856,../../antigens/alphafold_pdb/,Q5T0T0.pdb,A
Hs~MGC:BC007835.1~uORF:IOH6703,../../antigens/alphafold_pdb/,Q8N2I9.pdb,A
Hs~MGC:BC015634.1~uORF:IOH14765,../../antigens/alphafold_pdb/,Q9NZJ6.pdb,A
Hs~Ref:NM_005586.2~uORF:IOH6705,../../antigens/alphafold_pdb/,Q99750.pdb,A
Hs~Ref:NM_005400.1,../../antigens/alphafold_pdb/,Q02156.pdb,A
Hs~Ref:NM_021158.1,../../antigens/alphafold_pdb/,Q96RU7.pdb,A
Hs~Ref:NM_001786.2,../../antigens/alphafold_pdb/,P06493.pdb,A
Hs~Ref:NM_002731.1,../../antigens/alphafold_pdb/,P22694.pdb,A
Hs~MGC:BC007606.1~uORF:IOH6915,../../antigens/alphafold_pdb/,Q8NGX5.pdb,A
Hs~MGC:BC013158.1~uORF:IOH9772,../../antigens/alphafold_pdb/,O95704.pdb,A
Hs~Ref:NM_002572.1~uORF:IOH3561,../../antigens/alphafold_pdb/,P68402.pdb,A
Hs~MGC:BC004518.1~uORF:IOH5678,../../antigens/alphafold_pdb/,Q9BSW7.pdb,A
Hs~MGC:NM_152690.1~uORF:IOH10343,../../antigens/alphafold_pdb/,O94777.pdb,A
Hs~MGC:BC023152.1~uORF:IOH21475,../../antigens/alphafold_pdb/,O15488.pdb,A
Hs~MGC:BC023982.1~uORF:IOH14039,../../antigens/alphafold_pdb/,Q9H1C7.pdb,A
Hs~Ref:NM_018370.1~uORF:IOH21486,../../antigens/alphafold_pdb/,Q8N682.pdb,A
Hs~MGC:BC000284.1~uORF:IOH4482,../../antigens/alphafold_pdb/,Q9UJY4.pdb,A
Hs~MGC:BC015569.1~uORF:IOH14802,../../antigens/alphafold_pdb/,Q66PJ3.pdb,A
Hs~Ref:NM_145173.1~uORF:IOH22396,../../antigens/alphafold_pdb/,O95057.pdb,A
Hs~MGC:BC024245.2~uORF:IOH22398,../../antigens/alphafold_pdb/,Q9Y467.pdb,A
Hs~MGC:NM_024511.3~uORF:IOH5198,../../antigens/alphafold_pdb/,Q68CZ6.pdb,A
Hs~Ref:NM_014448.2~uORF:IOH5304,../../antigens/alphafold_pdb/,Q5VV41.pdb,A
Hs~Ref:NM_001864.2~uORF:IOH5372,../../antigens/alphafold_pdb/,P24310.pdb,A
Hs~MGC:BC002863.2~uORF:IOH5708,../../antigens/alphafold_pdb/,Q9BU70.pdb,A
Hs~Ref:XM_290936.2~uORF:IOH27440,../../antigens/alphafold_pdb/,Q2KJY2.pdb,A
Hs~Ref:NM_002686.2~uORF:IOH27402,../../antigens/alphafold_pdb/,P11086.pdb,A
Hs~Ref:NM_153450.1~uORF:IOH27352,../../antigens/alphafold_pdb/,A0JLT2.pdb,A
Hs~MGC:BC038294.2~uORF:IOH27125,../../antigens/alphafold_pdb/,Q86Y37.pdb,A
Hs~Ref:NM_031988~CAT:PV3293,../../antigens/alphafold_pdb/,P52564.pdb,A
Hs~Ref:NM_002737~CAT:P2227,../../antigens/alphafold_pdb/,P17252.pdb,A
Hs~Ref:NM_002648~CAT:PV3503,../../antigens/alphafold_pdb/,P11309.pdb,A
Hs~Ref:NM_003564.1~uORF:IOH27832,../../antigens/alphafold_pdb/,P37802.pdb,A
Hs~MGC:BC051362.1~uORF:IOH28072,../../antigens/alphafold_pdb/,P17693.pdb,A
Hs~Ref:NM_032193.1~uORF:IOH27907,../../antigens/alphafold_pdb/,Q8TDP1.pdb,A
Hs~Ref:NM_152786.1~uORF:IOH11171,../../antigens/alphafold_pdb/,Q8TAL5.pdb,A
Hs~MGC:NM_174909.1~uORF:IOH14735,../../antigens/alphafold_pdb/,Q8TBQ9.pdb,A
Hs~MGC:BC022034.1~uORF:IOH10988,../../antigens/alphafold_pdb/,Q9BYZ2.pdb,A
Hs~MGC:BC021988.1~uORF:IOH14635,../../antigens/alphafold_pdb/,Q9NV92.pdb,A
Hs~MGC:BC017382.1~uORF:IOH14830,../../antigens/alphafold_pdb/,Q70EK8.pdb,A
Hs~Ref:NM_032036.2~uORF:IOH21906,../../antigens/alphafold_pdb/,Q9H2X8.pdb,A
Hs~Ref:NM_024638.2~uORF:IOH22191,../../antigens/alphafold_pdb/,Q9H974.pdb,A
Hs~MGC:BC030214.1~uORF:IOH22591,../../antigens/alphafold_pdb/,Q92797.pdb,A
Hs~Ref:NM_152572.2~uORF:IOH22800,../../antigens/alphafold_pdb/,Q96MA6.pdb,A
Hs~MGC:BC000552.1~uORF:IOH4161,../../antigens/alphafold_pdb/,Q96NS8.pdb,A
Hs~Ref:NM_004154.2~uORF:IOH4151,../../antigens/alphafold_pdb/,Q15077.pdb,A
Hs~Ref:NM_145044.1~uORF:IOH10819,../../antigens/alphafold_pdb/,Q96CX3.pdb,A
Hs~MGC:BC059393.1~uORF:IOH29208,../../antigens/alphafold_pdb/,O60890.pdb,A
Hs~MGC:BC053733.1~uORF:IOH28787,../../antigens/alphafold_pdb/,Q7Z624.pdb,A
Hs~MGC:BC041638.1~uORF:IOH28004,../../antigens/alphafold_pdb/,Q15020.pdb,A
Hs~MGC:XM_372356.1~uORF:IOH28338,../../antigens/alphafold_pdb/,Q9H343.pdb,A
Hs~MGC:BC025784.2~uORF:IOH11964,../../antigens/alphafold_pdb/,P54315.pdb,A
Hs~Ref:NM_006930.2~uORF:IOH11897,../../antigens/alphafold_pdb/,P63208.pdb,A
Hs~Ref:NM_002987.2~uORF:IOH39735,../../antigens/alphafold_pdb/,Q92583.pdb,A
Hs~Ref:NM_018273.2~uORF:IOH11850,../../antigens/alphafold_pdb/,Q96AN5.pdb,A
Hs~MGC:NM_178152.1~uORF:IOH20954,../../antigens/alphafold_pdb/,O43602.pdb,A
Hs~Ref:NM_004394.1~uORF:IOH40583,../../antigens/alphafold_pdb/,P51397.pdb,A
Hs~Ref:NM_080612.1~uORF:IOH42263,../../antigens/alphafold_pdb/,Q8WWW8.pdb,A
Hs~Ref:NM_001008220.1~uORF:IOH42361,../../antigens/alphafold_pdb/,Q6PUV4.pdb,A
Hs~MGC:BC005174.1~uORF:IOH4625,../../antigens/alphafold_pdb/,Q9Y2D1.pdb,A
Hs~MGC:BC026961.1~uORF:IOH22837,../../antigens/alphafold_pdb/,O75030.pdb,A
Hs~Ref:NM_024594.1~uORF:IOH10705,../../antigens/alphafold_pdb/,Q9H999.pdb,A
Hs~MGC:BC000942.2~uORF:IOH2983,../../antigens/alphafold_pdb/,Q99614.pdb,A
Hs~MGC:NM_148179.1~uORF:IOH23094,../../antigens/alphafold_pdb/,Q8N5L8.pdb,A
Hs~Ref:NM_006658.1~uORF:IOH21548,../../antigens/alphafold_pdb/,O96001.pdb,A
Hs~MGC:BC015818.1~uORF:IOH14254,../../antigens/alphafold_pdb/,O00214.pdb,A
Hs~MGC:NM_020319.1~uORF:IOH27320,../../antigens/alphafold_pdb/,Q8IV38.pdb,A
Hs~MGC:BC028682.2~uORF:IOH22322,../../antigens/alphafold_pdb/,Q7Z6B0.pdb,A
Hs~Ref:NM_018945.3~uORF:IOH45738,../../antigens/alphafold_pdb/,Q9NP56.pdb,A
Hs~Ref:NM_020367.2~uORF:IOH13091,../../antigens/alphafold_pdb/,Q9NR21.pdb,A
Hs~Ref:NM_139023.1~uORF:IOH12263,../../antigens/alphafold_pdb/,Q96QS1.pdb,A
Hs~MGC:BC007340.1~uORF:IOH5890,../../antigens/alphafold_pdb/,Q13895.pdb,A
Hs~MGC:BC020572.1~uORF:IOH11492,../../antigens/alphafold_pdb/,Q8NEE6.pdb,A
Hs~MGC:BC035911.1~uORF:IOH25946,../../antigens/alphafold_pdb/,Q8NHQ9.pdb,A
Hs~MGC:BC017018.1~uORF:IOH11265,../../antigens/alphafold_pdb/,Q9UKB3.pdb,A
Hs~MGC:BC012622.1~uORF:IOH12321,../../antigens/alphafold_pdb/,Q13131.pdb,A
Hs~MGC:BC001321.1~uORF:IOH3117,../../antigens/alphafold_pdb/,Q9H765.pdb,A
Hs~Ref:NM_006911.2~uORF:IOH7561,../../antigens/alphafold_pdb/,P04808.pdb,A
Hs~MGC:BC059404.1~uORF:IOH29185,../../antigens/alphafold_pdb/,Q8N143.pdb,A
Hs~MGC:BC039999.2~uORF:IOH28772,../../antigens/alphafold_pdb/,Q9H9A7.pdb,A
Hs~MGC:BC007956.1~uORF:IOH29317,../../antigens/alphafold_pdb/,Q7L3T8.pdb,A
Hs~MGC:BC000877.1~uORF:IOH3268,../../antigens/alphafold_pdb/,Q5T686.pdb,A
Hs~MGC:BC042038.1~uORF:IOH26441,../../antigens/alphafold_pdb/,Q8TEM1.pdb,A
Hs~MGC:BC020602.1~uORF:IOH23062,../../antigens/alphafold_pdb/,Q9H649.pdb,A
Hs~MGC:BC054517.1~uORF:IOH28882,../../antigens/alphafold_pdb/,Q9NW38.pdb,A
Hs~MGC:BC013991.2~uORF:IOH14123,../../antigens/alphafold_pdb/,Q96CS7.pdb,A
Hs~MGC:NM_182621.1~uORF:IOH28035,../../antigens/alphafold_pdb/,Q6UWV7.pdb,A
Hs~Ref:NM_025125.2~uORF:IOH12854,../../antigens/alphafold_pdb/,Q8TBM7.pdb,A
Hs~Ref:NM_004718.2~uORF:IOH7545,../../antigens/alphafold_pdb/,O14548.pdb,A
Hs~MGC:BC028711.2~uORF:IOH11814,../../antigens/alphafold_pdb/,Q8NHU0.pdb,A
Hs~MGC:BC027911.1~uORF:IOH11846,../../antigens/alphafold_pdb/,Q8N371.pdb,A
Hs~MGC:BC019015.2~uORF:IOH12089,../../antigens/alphafold_pdb/,Q9NX70.pdb,A
Hs~Ref:NM_002243.2~uORF:IOH13007,../../antigens/alphafold_pdb/,Q99712.pdb,A
Hs~MGC:BC014095.2~uORF:IOH14089,../../antigens/alphafold_pdb/,Q04206.pdb,A
Hs~MGC:BC018445.1~uORF:IOH9764,../../antigens/alphafold_pdb/,Q8WV93.pdb,A
Hs~MGC:BC008091.1~uORF:IOH3325,../../antigens/alphafold_pdb/,Q8N769.pdb,A
Hs~MGC:BC000442.1,../../antigens/alphafold_pdb/,Q96GD4.pdb,A
Hs~MGC:BC011668.1,../../antigens/alphafold_pdb/,P68400.pdb,A
Hs~MGC:BC006106.1,../../antigens/alphafold_pdb/,Q9UBS0.pdb,A
Hs~Ref:NM_000294.1~uORF:IOH4032,../../antigens/alphafold_pdb/,P15735.pdb,A
Hs~Ref:NM_018199.1~uORF:IOH4885,../../antigens/alphafold_pdb/,Q9NVH0.pdb,A
Hs~Ref:NM_001950.3~uORF:IOH23241,../../antigens/alphafold_pdb/,Q16254.pdb,A
Hs~Ref:NM_003321.3~uORF:IOH4865,../../antigens/alphafold_pdb/,P49411.pdb,A
Hs~Ref:NM_006811.2~uORF:IOH37786,../../antigens/alphafold_pdb/,Q13530.pdb,A
Hs~Ref:NM_022465.2~uORF:IOH37941,../../antigens/alphafold_pdb/,Q9H2S9.pdb,A
Hs~Ref:NM_025197.2~uORF:IOH42110,../../antigens/alphafold_pdb/,Q96JB5.pdb,A
Hs~Ref:NM_016369.3~uORF:IOH41005,../../antigens/alphafold_pdb/,P56856.pdb,A
Hs~Ref:NM_005204.2,../../antigens/alphafold_pdb/,P41279.pdb,A
Hs~Ref:NM_005627.1,../../antigens/alphafold_pdb/,O00141.pdb,A
Hs~Ref:NM_032111.2~uORF:IOH39958,../../antigens/alphafold_pdb/,Q6P1L8.pdb,A
Hs~Ref:NM_178833.3~uORF:IOH40887,../../antigens/alphafold_pdb/,Q86UD5.pdb,A
Hs~Ref:NM_054020.2~uORF:IOH39920,../../antigens/alphafold_pdb/,Q96P56.pdb,A
Hs~Ref:NM_019612.2~uORF:IOH40077,../../antigens/alphafold_pdb/,Q6NXR0.pdb,A
Hs~Ref:NM_024299.2~uORF:IOH4080,../../antigens/alphafold_pdb/,Q9H3Y8.pdb,A
Hs~Ref:NM_012247.3~uORF:IOH3018,../../antigens/alphafold_pdb/,P49903.pdb,A
Hs~Ref:NM_004310.2~uORF:IOH13574,../../antigens/alphafold_pdb/,Q15669.pdb,A
Hs~MGC:BC001715.2~uORF:IOH4551,../../antigens/alphafold_pdb/,O75251.pdb,A
Hs~MGC:BC011676.1~uORF:IOH13772,../../antigens/alphafold_pdb/,O00221.pdb,A
Hs~Ref:NM_138781.1~uORF:IOH14852,../../antigens/alphafold_pdb/,Q8NEY8.pdb,A
Hs~Ref:NM_004844.1~uORF:IOH13842,../../antigens/alphafold_pdb/,O60239.pdb,A
Hs~Ref:NM_001924.2~uORF:IOH13873,../../antigens/alphafold_pdb/,P24522.pdb,A
Hs~MGC:BC038354.1~uORF:IOH25737,../../antigens/alphafold_pdb/,P36222.pdb,A
Hs~MGC:NM_178863.2~uORF:IOH27502,../../antigens/alphafold_pdb/,Q8WZ19.pdb,A
Hs~MGC:BC022231.1~uORF:IOH10619,../../antigens/alphafold_pdb/,P50548.pdb,A
Hs~MGC:BC039306.1~uORF:IOH27482,../../antigens/alphafold_pdb/,Q8IXS6.pdb,A
Hs~MGC:BC060818.1~uORF:IOH29248,../../antigens/alphafold_pdb/,O60641.pdb,A
Hs~MGC:BC020597.1~uORF:IOH14197,../../antigens/alphafold_pdb/,Q00403.pdb,A
Hs~MGC:BC030693.2~uORF:IOH22319,../../antigens/alphafold_pdb/,O60669.pdb,A
Hs~MGC:BC067521.1~uORF:IOH40152,../../antigens/alphafold_pdb/,Q9NZI5.pdb,A
Hs~Ref:NM_018697.3~uORF:IOH37734,../../antigens/alphafold_pdb/,Q9NS86.pdb,A
Hs~Ref:NM_014468.2~uORF:IOH36691,../../antigens/alphafold_pdb/,O95231.pdb,A
Hs~Ref:NM_004465.1~uORF:IOH40262,../../antigens/alphafold_pdb/,O15520.pdb,A
Hs~Ref:NM_194463.1~uORF:IOH39866,../../antigens/alphafold_pdb/,Q8TEB7.pdb,A
Hs~Ref:NM_018145.1~uORF:IOH40027,../../antigens/alphafold_pdb/,Q96TC7.pdb,A
Hs~Ref:NM_022100.1~uORF:IOH12979,../../antigens/alphafold_pdb/,O60783.pdb,A
Hs~Ref:NM_000308.1~uORF:IOH29615,../../antigens/alphafold_pdb/,P10619.pdb,A
Hs~MGC:BC022419.1~uORF:IOH23032,../../antigens/alphafold_pdb/,Q8N3S3.pdb,A
Hs~MGC:XM_060957.2~uORF:IOH28455,../../antigens/alphafold_pdb/,Q8NGY5.pdb,A
Hs~Ref:NM_004935.1~uORF:IOH4873,../../antigens/alphafold_pdb/,Q00535.pdb,A
Hs~MGC:NM_173547.2~uORF:IOH11612,../../antigens/alphafold_pdb/,Q86UK5.pdb,A
Hs~MGC:BC000979.2~uORF:IOH2932,../../antigens/alphafold_pdb/,Q9Y6V7.pdb,A
Hs~Ref:NM_002475.2~uORF:IOH14814,../../antigens/alphafold_pdb/,P14649.pdb,A
Hs~MGC:BC047720.1~uORF:IOH26648,../../antigens/alphafold_pdb/,Q8IVV2.pdb,A
Hs~Ref:NM_030772.1~uORF:IOH26484,../../antigens/alphafold_pdb/,P57773.pdb,A
Hs~MGC:BC048299.1~uORF:IOH26615,../../antigens/alphafold_pdb/,Q86XZ4.pdb,A
Hs~Ref:NM_019591.1~uORF:IOH26974,../../antigens/alphafold_pdb/,P17031.pdb,A
Hs~Ref:NM_005785.2~uORF:IOH21937,../../antigens/alphafold_pdb/,Q9H4P4.pdb,A
Hs~Ref:NM_153364.1~uORF:IOH27498,../../antigens/alphafold_pdb/,Q8NEG0.pdb,A
Hs~MGC:BC021925.1~uORF:IOH13368,../../antigens/alphafold_pdb/,Q9BZR9.pdb,A
Hs~Ref:NM_024036.3~uORF:IOH23019,../../antigens/alphafold_pdb/,Q6PJG9.pdb,A
