nodo:ID,:LABEL
XN_222,PROTEIN2
XN_223,PROTEIN2
XN_224,PROTEIN2
XN_225,PROTEIN2
XN_226,PROTEIN2
XN_227,PROTEIN2
XN_228,PROTEIN2
XN_229,PROTEIN2
XN_230,PROTEIN2
XN_231,PROTEIN2
XN_232,PROTEIN2
XN_233,PROTEIN2
XN_234,PROTEIN2
XN_235,PROTEIN2
XN_236,PROTEIN2
XN_237,PROTEIN2
XN_238,PROTEIN2
XN_239,PROTEIN2
XN_240,PROTEIN2
XN_241,PROTEIN2
XN_242,PROTEIN2
XN_243,PROTEIN2
XN_244,PROTEIN2
XN_245,PROTEIN2
XN_246,PROTEIN2
XN_247,PROTEIN2
XN_248,PROTEIN2
XN_249,PROTEIN2
XN_250,PROTEIN2
XN_251,PROTEIN2
XN_252,PROTEIN2
XN_253,PROTEIN2
XN_254,PROTEIN2
XN_255,PROTEIN2
XN_256,PROTEIN2
XN_257,PROTEIN2
XN_258,PROTEIN2
XN_259,PROTEIN2
XN_260,PROTEIN2
XN_261,PROTEIN2
XN_262,PROTEIN2
XN_263,PROTEIN2
XN_264,PROTEIN2
XN_265,PROTEIN2
XN_266,PROTEIN2
XN_267,PROTEIN2
XN_268,PROTEIN2
XN_269,PROTEIN2
XN_270,PROTEIN2
XN_271,PROTEIN2
XN_272,PROTEIN2
XN_273,PROTEIN2
XN_274,PROTEIN2
XN_275,PROTEIN2
XN_276,PROTEIN2
XN_277,PROTEIN2
XN_278,PROTEIN2
XN_279,PROTEIN2
XN_280,PROTEIN2
XN_281,PROTEIN2
XN_282,PROTEIN2
XN_283,PROTEIN2
XN_284,PROTEIN2
XN_285,PROTEIN2
XN_286,PROTEIN2
XN_287,PROTEIN2
XN_288,PROTEIN2
XN_289,PROTEIN2
XN_290,PROTEIN2
XN_291,PROTEIN2
XN_292,PROTEIN2
XN_293,PROTEIN2
XN_294,PROTEIN2
XN_295,PROTEIN2
XN_296,PROTEIN2
XN_297,PROTEIN2
XN_298,PROTEIN2
XN_299,PROTEIN2
XN_300,PROTEIN2
XN_301,PROTEIN2
XN_302,PROTEIN2
XN_303,PROTEIN2
XN_304,PROTEIN2
XN_305,PROTEIN2
XN_306,PROTEIN2
XN_307,PROTEIN2
XN_308,PROTEIN2
XN_309,PROTEIN2
XN_310,PROTEIN2
XN_311,PROTEIN2
XN_312,PROTEIN2
XN_313,PROTEIN2
XN_314,PROTEIN2
XN_315,PROTEIN2
XN_316,PROTEIN2
XN_317,PROTEIN2
XN_318,PROTEIN2
XN_319,PROTEIN2
XN_320,PROTEIN2
XN_321,PROTEIN2
XN_322,PROTEIN2
XN_323,PROTEIN2
XN_324,PROTEIN2
XN_325,PROTEIN2
XN_326,PROTEIN2
XN_327,PROTEIN2
XN_328,PROTEIN2
XN_329,PROTEIN2
XN_330,PROTEIN2
XN_331,PROTEIN2
XN_332,PROTEIN2
XN_333,PROTEIN2
XN_334,PROTEIN2
XN_335,PROTEIN2
XN_336,PROTEIN2
XN_337,PROTEIN2
XN_338,PROTEIN2
XN_339,PROTEIN2
XN_340,PROTEIN2
XN_341,PROTEIN2
XN_342,PROTEIN2
XN_343,PROTEIN2
XN_344,PROTEIN2
XN_345,PROTEIN2
XN_346,PROTEIN2
XN_347,PROTEIN2
XN_348,PROTEIN2
XN_349,PROTEIN2
XN_350,PROTEIN2
XN_351,PROTEIN2
XN_352,PROTEIN2
XN_353,PROTEIN2
XN_354,PROTEIN2
XN_355,PROTEIN2
XN_356,PROTEIN2
XN_357,PROTEIN2
XN_358,PROTEIN2
XN_359,PROTEIN2
XN_360,PROTEIN2
XN_361,PROTEIN2
XN_362,PROTEIN2
XN_363,PROTEIN2
XN_364,PROTEIN2
XN_365,PROTEIN2
XN_366,PROTEIN2
XN_367,PROTEIN2
XN_368,PROTEIN2
XN_369,PROTEIN2
XN_370,PROTEIN2
XN_371,PROTEIN2
XN_372,PROTEIN2
XN_373,PROTEIN2
XN_374,PROTEIN2
XN_375,PROTEIN2
XN_376,PROTEIN2
XN_377,PROTEIN2
XN_378,PROTEIN2
XN_379,PROTEIN2
XN_380,PROTEIN2
XN_381,PROTEIN2
XN_382,PROTEIN2
XN_383,PROTEIN2
XN_384,PROTEIN2
XN_385,PROTEIN2
XN_386,PROTEIN2
XN_387,PROTEIN2
XN_388,PROTEIN2
XN_389,PROTEIN2
XN_390,PROTEIN2
XN_391,PROTEIN2
XN_392,PROTEIN2
XN_393,PROTEIN2
XN_394,PROTEIN2
XN_395,PROTEIN2
XN_396,PROTEIN2
XN_397,PROTEIN2
XN_398,PROTEIN2
XN_399,PROTEIN2
XN_400,PROTEIN2
XN_401,PROTEIN2
XN_402,PROTEIN2
XN_403,PROTEIN2
XN_404,PROTEIN2
XN_405,PROTEIN2
XN_406,PROTEIN2
XN_407,PROTEIN2
XN_408,PROTEIN2
XN_409,PROTEIN2
XN_410,PROTEIN2
XN_411,PROTEIN2
XN_412,PROTEIN2
XN_413,PROTEIN2
XN_414,PROTEIN2
XN_415,PROTEIN2
XN_416,PROTEIN2
XN_417,PROTEIN2
XN_418,PROTEIN2
XN_419,PROTEIN2
XN_420,PROTEIN2
XN_421,PROTEIN2
XN_422,PROTEIN2
XN_423,PROTEIN2
XN_424,PROTEIN2
XN_425,PROTEIN2
XN_426,PROTEIN2
XN_427,PROTEIN2
XN_428,PROTEIN2
XN_429,PROTEIN2
XN_430,PROTEIN2
XN_431,PROTEIN2
XN_432,PROTEIN2
XN_433,PROTEIN2
XN_434,PROTEIN2
XN_435,PROTEIN2
XN_436,PROTEIN2
XN_437,PROTEIN2
XN_438,PROTEIN2
XN_439,PROTEIN2
XN_440,PROTEIN2
XN_441,PROTEIN2
XN_442,PROTEIN2
XN_443,PROTEIN2
XN_444,PROTEIN2
XN_445,PROTEIN2
XN_446,PROTEIN2
XN_447,PROTEIN2
XN_448,PROTEIN2
XN_449,PROTEIN2
XN_450,PROTEIN2
XN_451,PROTEIN2
XN_452,PROTEIN2
XN_453,PROTEIN2
XN_454,PROTEIN2
XN_455,PROTEIN2
XN_456,PROTEIN2
XN_457,PROTEIN2
XN_458,PROTEIN2
XN_459,PROTEIN2
XN_460,PROTEIN2
XN_461,PROTEIN2
XN_462,PROTEIN2
XN_463,PROTEIN2
XN_464,PROTEIN2
XN_465,PROTEIN2
XN_466,PROTEIN2
XN_467,PROTEIN2
XN_468,PROTEIN2
XN_469,PROTEIN2
XN_470,PROTEIN2
XN_471,PROTEIN2
XN_472,PROTEIN2
XN_473,PROTEIN2
XN_474,PROTEIN2
XN_475,PROTEIN2
XN_476,PROTEIN2
XN_477,PROTEIN2
XN_478,PROTEIN2
XN_479,PROTEIN2
XN_480,PROTEIN2
XN_481,PROTEIN2
XN_482,PROTEIN2
XN_483,PROTEIN2
XN_484,PROTEIN2
XN_485,PROTEIN2
XN_486,PROTEIN2
XN_487,PROTEIN2
XN_488,PROTEIN2
XN_489,PROTEIN2
XN_490,PROTEIN2
XN_491,PROTEIN2
XN_492,PROTEIN2
XN_493,PROTEIN2
XN_494,PROTEIN2
XN_495,PROTEIN2
XN_496,PROTEIN2
XN_497,PROTEIN2
XN_498,PROTEIN2
XN_499,PROTEIN2
XN_500,PROTEIN2
XN_501,PROTEIN2
XN_502,PROTEIN2
XN_503,PROTEIN2
XN_504,PROTEIN2
XN_505,PROTEIN2
XN_506,PROTEIN2
XN_507,PROTEIN2
XN_508,PROTEIN2
XN_509,PROTEIN2
XN_510,PROTEIN2
XN_511,PROTEIN2
XN_512,PROTEIN2
XN_513,PROTEIN2
XN_514,PROTEIN2
XN_515,PROTEIN2
XN_516,PROTEIN2
XN_517,PROTEIN2
XN_518,PROTEIN2
XN_519,PROTEIN2
XN_520,PROTEIN2
XN_521,PROTEIN2
XN_522,PROTEIN2
XN_523,PROTEIN2
XN_524,PROTEIN2
XN_525,PROTEIN2
XN_526,PROTEIN2
XN_527,PROTEIN2
XN_528,PROTEIN2
XN_529,PROTEIN2
XN_530,PROTEIN2
XN_531,PROTEIN2
XN_532,PROTEIN2
XN_533,PROTEIN2
XN_534,PROTEIN2
XN_535,PROTEIN2
XN_536,PROTEIN2
XN_537,PROTEIN2
XN_538,PROTEIN2
XN_539,PROTEIN2
XN_540,PROTEIN2
XN_541,PROTEIN2
XN_542,PROTEIN2
XN_543,PROTEIN2
XN_544,PROTEIN2
XN_545,PROTEIN2
XN_546,PROTEIN2
XN_547,PROTEIN2
XN_548,PROTEIN2
XN_549,PROTEIN2
XN_550,PROTEIN2
XN_551,PROTEIN2
XN_552,PROTEIN2
XN_553,PROTEIN2
XN_554,PROTEIN2
XN_555,PROTEIN2
XN_556,PROTEIN2
XN_557,PROTEIN2
XN_558,PROTEIN2
XN_559,PROTEIN2
XN_560,PROTEIN2
XN_561,PROTEIN2
XN_562,PROTEIN2
XN_563,PROTEIN2
XN_564,PROTEIN2
XN_565,PROTEIN2
XN_566,PROTEIN2
XN_567,PROTEIN2
XN_568,PROTEIN2
XN_569,PROTEIN2
XN_570,PROTEIN2
XN_571,PROTEIN2
XN_572,PROTEIN2
XN_573,PROTEIN2
XN_574,PROTEIN2
XN_575,PROTEIN2
XN_576,PROTEIN2
XN_577,PROTEIN2
XN_578,PROTEIN2
XN_579,PROTEIN2
XN_580,PROTEIN2
XN_581,PROTEIN2
XN_582,PROTEIN2
XN_583,PROTEIN2
XN_584,PROTEIN2
XN_585,PROTEIN2
XN_586,PROTEIN2
XN_587,PROTEIN2
XN_588,PROTEIN2
XN_589,PROTEIN2
XN_590,PROTEIN2
XN_591,PROTEIN2
XN_592,PROTEIN2
XN_593,PROTEIN2
XN_594,PROTEIN2
XN_595,PROTEIN2
XN_596,PROTEIN2
XN_597,PROTEIN2
XN_598,PROTEIN2
XN_599,PROTEIN2
XN_600,PROTEIN2
XN_601,PROTEIN2
XN_602,PROTEIN2
XN_603,PROTEIN2
XN_604,PROTEIN2
XN_605,PROTEIN2
XN_606,PROTEIN2
XN_607,PROTEIN2
XN_608,PROTEIN2
XN_609,PROTEIN2
XN_610,PROTEIN2
XN_611,PROTEIN2
XN_612,PROTEIN2
XN_613,PROTEIN2
XN_614,PROTEIN2
XN_615,PROTEIN2
XN_616,PROTEIN2
XN_617,PROTEIN2
XN_618,PROTEIN2
XN_619,PROTEIN2
XN_620,PROTEIN2
XN_621,PROTEIN2
XN_622,PROTEIN2
XN_623,PROTEIN2
XN_624,PROTEIN2
XN_625,PROTEIN2
XN_626,PROTEIN2
XN_627,PROTEIN2
XN_628,PROTEIN2
XN_629,PROTEIN2
XN_630,PROTEIN2
XN_631,PROTEIN2
XN_632,PROTEIN2
XN_633,PROTEIN2
XN_634,PROTEIN2
XN_635,PROTEIN2
XN_636,PROTEIN2
XN_637,PROTEIN2
XN_638,PROTEIN2
XN_639,PROTEIN2
XN_640,PROTEIN2
XN_641,PROTEIN2
XN_642,PROTEIN2
XN_643,PROTEIN2
XN_644,PROTEIN2
XN_645,PROTEIN2
XN_646,PROTEIN2
XN_647,PROTEIN2
XN_648,PROTEIN2
XN_649,PROTEIN2
XN_650,PROTEIN2
XN_651,PROTEIN2
XN_652,PROTEIN2
XN_653,PROTEIN2
XN_654,PROTEIN2
XN_655,PROTEIN2
XN_656,PROTEIN2
XN_657,PROTEIN2
XN_658,PROTEIN2
XN_659,PROTEIN2
XN_660,PROTEIN2
XN_661,PROTEIN2
XN_662,PROTEIN2
XN_663,PROTEIN2
XN_664,PROTEIN2
XN_665,PROTEIN2
XN_666,PROTEIN2
XN_667,PROTEIN2
XN_668,PROTEIN2
XN_669,PROTEIN2
XN_670,PROTEIN2
XN_671,PROTEIN2
XN_672,PROTEIN2
XN_673,PROTEIN2
XN_674,PROTEIN2
XN_675,PROTEIN2
XN_676,PROTEIN2
XN_677,PROTEIN2
XN_678,PROTEIN2
XN_679,PROTEIN2
XN_680,PROTEIN2
XN_681,PROTEIN2
XN_682,PROTEIN2
XN_683,PROTEIN2
XN_684,PROTEIN2
XN_685,PROTEIN2
XN_686,PROTEIN2
XN_687,PROTEIN2
XN_688,PROTEIN2
XN_689,PROTEIN2
XN_690,PROTEIN2
XN_691,PROTEIN2
XN_692,PROTEIN2
XN_693,PROTEIN2
XN_694,PROTEIN2
XN_695,PROTEIN2
XN_696,PROTEIN2
XN_697,PROTEIN2
XN_698,PROTEIN2
XN_699,PROTEIN2
XN_700,PROTEIN2
XN_701,PROTEIN2
XN_702,PROTEIN2
XN_703,PROTEIN2
XN_704,PROTEIN2
XN_705,PROTEIN2
XN_706,PROTEIN2
XN_707,PROTEIN2
XN_708,PROTEIN2
XN_709,PROTEIN2
XN_710,PROTEIN2
XN_711,PROTEIN2
XN_712,PROTEIN2
XN_713,PROTEIN2
XN_714,PROTEIN2
XN_715,PROTEIN2
XN_716,PROTEIN2
XN_717,PROTEIN2
XN_718,PROTEIN2
XN_719,PROTEIN2
XN_720,PROTEIN2
XN_721,PROTEIN2
XN_722,PROTEIN2
XN_723,PROTEIN2
XN_724,PROTEIN2
XN_725,PROTEIN2
XN_726,PROTEIN2
XN_727,PROTEIN2
XN_728,PROTEIN2
XN_729,PROTEIN2
XN_730,PROTEIN2
XN_731,PROTEIN2
XN_732,PROTEIN2
XN_733,PROTEIN2
XN_734,PROTEIN2
XN_735,PROTEIN2
XN_736,PROTEIN2
XN_737,PROTEIN2
XN_738,PROTEIN2
XN_739,PROTEIN2
XN_740,PROTEIN2
XN_741,PROTEIN2
XN_742,PROTEIN2
XN_743,PROTEIN2
XN_744,PROTEIN2
XN_745,PROTEIN2
XN_746,PROTEIN2
XN_747,PROTEIN2
XN_748,PROTEIN2
XN_749,PROTEIN2
XN_750,PROTEIN2
XN_751,PROTEIN2
XN_752,PROTEIN2
XN_753,PROTEIN2
XN_754,PROTEIN2
XN_755,PROTEIN2
XN_756,PROTEIN2
XN_757,PROTEIN2
XN_758,PROTEIN2
XN_759,PROTEIN2
XN_760,PROTEIN2
XN_761,PROTEIN2
XN_762,PROTEIN2
XN_763,PROTEIN2
XN_764,PROTEIN2
XN_765,PROTEIN2
XN_766,PROTEIN2
XN_767,PROTEIN2
XN_768,PROTEIN2
XN_769,PROTEIN2
XN_770,PROTEIN2
XN_771,PROTEIN2
XN_772,PROTEIN2
XN_773,PROTEIN2
XN_774,PROTEIN2
XN_775,PROTEIN2
XN_776,PROTEIN2
XN_777,PROTEIN2
XN_778,PROTEIN2
XN_779,PROTEIN2
XN_780,PROTEIN2
XN_781,PROTEIN2
XN_782,PROTEIN2
XN_783,PROTEIN2
XN_784,PROTEIN2
XN_785,PROTEIN2
XN_786,PROTEIN2
XN_787,PROTEIN2
XN_788,PROTEIN2
XN_789,PROTEIN2
XN_790,PROTEIN2
XN_791,PROTEIN2
XN_792,PROTEIN2
XN_793,PROTEIN2
XN_794,PROTEIN2
XN_795,PROTEIN2
XN_796,PROTEIN2
XN_797,PROTEIN2
XN_798,PROTEIN2
XN_799,PROTEIN2
XN_800,PROTEIN2
XN_801,PROTEIN2
XN_802,PROTEIN2
XN_803,PROTEIN2
XN_804,PROTEIN2
XN_805,PROTEIN2
XN_806,PROTEIN2
XN_807,PROTEIN2
XN_808,PROTEIN2
XN_809,PROTEIN2
XN_810,PROTEIN2
XN_811,PROTEIN2
XN_812,PROTEIN2
XN_813,PROTEIN2
XN_814,PROTEIN2
XN_815,PROTEIN2
XN_816,PROTEIN2
XN_817,PROTEIN2
XN_818,PROTEIN2
XN_819,PROTEIN2
XN_820,PROTEIN2
XN_821,PROTEIN2
XN_822,PROTEIN2
XN_823,PROTEIN2
XN_824,PROTEIN2
XN_825,PROTEIN2
XN_826,PROTEIN2
XN_827,PROTEIN2
XN_828,PROTEIN2
XN_829,PROTEIN2
XN_830,PROTEIN2
XN_831,PROTEIN2
XN_832,PROTEIN2
XN_833,PROTEIN2
XN_834,PROTEIN2
XN_835,PROTEIN2
XN_836,PROTEIN2
XN_837,PROTEIN2
XN_838,PROTEIN2
XN_839,PROTEIN2
XN_840,PROTEIN2
XN_841,PROTEIN2
XN_842,PROTEIN2
XN_843,PROTEIN2
XN_844,PROTEIN2
XN_845,PROTEIN2
XN_846,PROTEIN2
XN_847,PROTEIN2
XN_848,PROTEIN2
XN_849,PROTEIN2
XN_850,PROTEIN2
XN_851,PROTEIN2
XN_852,PROTEIN2
XN_853,PROTEIN2
XN_854,PROTEIN2
XN_855,PROTEIN2
XN_856,PROTEIN2
XN_857,PROTEIN2
XN_858,PROTEIN2
XN_859,PROTEIN2
XN_860,PROTEIN2
XN_861,PROTEIN2
XN_862,PROTEIN2
XN_863,PROTEIN2
XN_864,PROTEIN2
XN_865,PROTEIN2
XN_866,PROTEIN2
XN_867,PROTEIN2
XN_868,PROTEIN2
XN_869,PROTEIN2
XN_870,PROTEIN2
XN_871,PROTEIN2
XN_872,PROTEIN2
XN_873,PROTEIN2
XN_874,PROTEIN2
XN_875,PROTEIN2
XN_876,PROTEIN2
XN_877,PROTEIN2
XN_878,PROTEIN2
XN_879,PROTEIN2
XN_880,PROTEIN2
XN_881,PROTEIN2
XN_882,PROTEIN2
XN_883,PROTEIN2
XN_884,PROTEIN2
XN_885,PROTEIN2
XN_886,PROTEIN2
XN_887,PROTEIN2
XN_888,PROTEIN2
XN_889,PROTEIN2
XN_890,PROTEIN2
XN_891,PROTEIN2
XN_892,PROTEIN2
XN_893,PROTEIN2
XN_894,PROTEIN2
XN_895,PROTEIN2
XN_896,PROTEIN2
XN_897,PROTEIN2
XN_898,PROTEIN2
XN_899,PROTEIN2
XN_900,PROTEIN2
XN_901,PROTEIN2
XN_902,PROTEIN2
XN_903,PROTEIN2
XN_904,PROTEIN2
XN_905,PROTEIN2
XN_906,PROTEIN2
XN_907,PROTEIN2
XN_908,PROTEIN2
XN_909,PROTEIN2
XN_910,PROTEIN2
XN_911,PROTEIN2
XN_912,PROTEIN2
XN_913,PROTEIN2
XN_914,PROTEIN2
XN_915,PROTEIN2
XN_916,PROTEIN2
XN_917,PROTEIN2
XN_918,PROTEIN2
XN_919,PROTEIN2
XN_920,PROTEIN2
XN_921,PROTEIN2
XN_922,PROTEIN2
XN_923,PROTEIN2
XN_924,PROTEIN2
XN_925,PROTEIN2
XN_926,PROTEIN2
XN_927,PROTEIN2
XN_928,PROTEIN2
XN_929,PROTEIN2
XN_930,PROTEIN2
XN_931,PROTEIN2
XN_932,PROTEIN2
XN_933,PROTEIN2
XN_934,PROTEIN2
XN_935,PROTEIN2
XN_936,PROTEIN2
XN_937,PROTEIN2
XN_938,PROTEIN2
XN_939,PROTEIN2
XN_940,PROTEIN2
XN_941,PROTEIN2
XN_942,PROTEIN2
XN_943,PROTEIN2
XN_944,PROTEIN2
XN_945,PROTEIN2
XN_946,PROTEIN2
XN_947,PROTEIN2
XN_948,PROTEIN2
XN_949,PROTEIN2
XN_950,PROTEIN2
XN_951,PROTEIN2
XN_952,PROTEIN2
XN_953,PROTEIN2
XN_954,PROTEIN2
XN_955,PROTEIN2
XN_956,PROTEIN2
XN_957,PROTEIN2
XN_958,PROTEIN2
XN_959,PROTEIN2
XN_960,PROTEIN2
XN_961,PROTEIN2
XN_962,PROTEIN2
XN_963,PROTEIN2
XN_964,PROTEIN2
XN_965,PROTEIN2
XN_966,PROTEIN2
XN_967,PROTEIN2
XN_968,PROTEIN2
XN_969,PROTEIN2
XN_970,PROTEIN2
XN_971,PROTEIN2
XN_972,PROTEIN2
XN_973,PROTEIN2
XN_974,PROTEIN2
XN_975,PROTEIN2
XN_976,PROTEIN2
XN_977,PROTEIN2
XN_978,PROTEIN2
XN_979,PROTEIN2
XN_980,PROTEIN2
XN_981,PROTEIN2
XN_982,PROTEIN2
XN_983,PROTEIN2
XN_984,PROTEIN2
XN_985,PROTEIN2
XN_986,PROTEIN2
XN_987,PROTEIN2
XN_988,PROTEIN2
XN_989,PROTEIN2
XN_990,PROTEIN2
XN_991,PROTEIN2
XN_992,PROTEIN2
XN_993,PROTEIN2
XN_994,PROTEIN2
XN_995,PROTEIN2
XN_996,PROTEIN2
XN_997,PROTEIN2
XN_998,PROTEIN2
XN_999,PROTEIN2
XN_1000,PROTEIN2
XN_1001,PROTEIN2
XN_1002,PROTEIN2
XN_1003,PROTEIN2
XN_1004,PROTEIN2
XN_1005,PROTEIN2
XN_1006,PROTEIN2
XN_1007,PROTEIN2
XN_1008,PROTEIN2
XN_1009,PROTEIN2
XN_1010,PROTEIN2
XN_1011,PROTEIN2
XN_1012,PROTEIN2
XN_1013,PROTEIN2
XN_1014,PROTEIN2
XN_1015,PROTEIN2
XN_1016,PROTEIN2
XN_1017,PROTEIN2
XN_1018,PROTEIN2
XN_1019,PROTEIN2
XN_1020,PROTEIN2
XN_1021,PROTEIN2
XN_1022,PROTEIN2
XN_1023,PROTEIN2
XN_1024,PROTEIN2
XN_1025,PROTEIN2
XN_1026,PROTEIN2
XN_1027,PROTEIN2
XN_1028,PROTEIN2
XN_1029,PROTEIN2
XN_1030,PROTEIN2
XN_1031,PROTEIN2
XN_1032,PROTEIN2
XN_1033,PROTEIN2
XN_1034,PROTEIN2
XN_1035,PROTEIN2
XN_1036,PROTEIN2
XN_1037,PROTEIN2
XN_1038,PROTEIN2
XN_1039,PROTEIN2
XN_1040,PROTEIN2
XN_1041,PROTEIN2
XN_1042,PROTEIN2
XN_1043,PROTEIN2
XN_1044,PROTEIN2
XN_1045,PROTEIN2
XN_1046,PROTEIN2
XN_1047,PROTEIN2
XN_1048,PROTEIN2
XN_1049,PROTEIN2
XN_1050,PROTEIN2
XN_1051,PROTEIN2
XN_1052,PROTEIN2
XN_1053,PROTEIN2
XN_1054,PROTEIN2
XN_1055,PROTEIN2
XN_1056,PROTEIN2
XN_1057,PROTEIN2
XN_1058,PROTEIN2
XN_1059,PROTEIN2
XN_1060,PROTEIN2
XN_1061,PROTEIN2
XN_1062,PROTEIN2
XN_1063,PROTEIN2
XN_1064,PROTEIN2
XN_1065,PROTEIN2
XN_1066,PROTEIN2
XN_1067,PROTEIN2
XN_1068,PROTEIN2
XN_1069,PROTEIN2
