nodo:ID,:LABEL
N_144,PROTEIN
N_145,PROTEIN
N_146,PROTEIN
N_147,PROTEIN
N_148,PROTEIN
N_149,PROTEIN
N_150,PROTEIN
N_151,PROTEIN
N_152,PROTEIN
N_153,PROTEIN
N_154,PROTEIN
N_155,PROTEIN
N_156,PROTEIN
N_157,PROTEIN
N_158,PROTEIN
N_159,PROTEIN
N_160,PROTEIN
N_161,PROTEIN
N_162,PROTEIN
N_163,PROTEIN
N_164,PROTEIN
N_165,PROTEIN
N_166,PROTEIN
N_167,PROTEIN
N_168,PROTEIN
N_169,PROTEIN
N_170,PROTEIN
N_171,PROTEIN
N_172,PROTEIN
N_173,PROTEIN
N_174,PROTEIN
N_175,PROTEIN
N_176,PROTEIN
N_177,PROTEIN
N_178,PROTEIN
N_179,PROTEIN
N_180,PROTEIN
N_181,PROTEIN
N_182,PROTEIN
N_183,PROTEIN
N_184,PROTEIN
N_185,PROTEIN
N_186,PROTEIN
N_187,PROTEIN
N_188,PROTEIN
N_189,PROTEIN
N_190,PROTEIN
N_191,PROTEIN
N_192,PROTEIN
N_193,PROTEIN
N_194,PROTEIN
N_195,PROTEIN
N_196,PROTEIN
N_197,PROTEIN
N_198,PROTEIN
N_199,PROTEIN
N_200,PROTEIN
N_201,PROTEIN
N_202,PROTEIN
N_203,PROTEIN
N_204,PROTEIN
N_205,PROTEIN
N_206,PROTEIN
N_207,PROTEIN
N_208,PROTEIN
N_209,PROTEIN
N_210,PROTEIN
N_211,PROTEIN
N_212,PROTEIN
N_213,PROTEIN
N_214,PROTEIN
N_215,PROTEIN
N_216,PROTEIN
N_217,PROTEIN
N_218,PROTEIN
N_219,PROTEIN
N_220,PROTEIN
N_221,PROTEIN
N_222,PROTEIN
N_223,PROTEIN
N_224,PROTEIN
N_225,PROTEIN
N_226,PROTEIN
N_227,PROTEIN
N_228,PROTEIN
N_229,PROTEIN
N_230,PROTEIN
N_231,PROTEIN
N_232,PROTEIN
N_233,PROTEIN
N_234,PROTEIN
N_235,PROTEIN
N_236,PROTEIN
N_237,PROTEIN
N_238,PROTEIN
N_239,PROTEIN
N_240,PROTEIN
N_241,PROTEIN
N_242,PROTEIN
N_243,PROTEIN
N_244,PROTEIN
N_245,PROTEIN
N_246,PROTEIN
N_247,PROTEIN
N_248,PROTEIN
N_249,PROTEIN
N_250,PROTEIN
N_251,PROTEIN
N_252,PROTEIN
N_253,PROTEIN
N_254,PROTEIN
N_255,PROTEIN
N_256,PROTEIN
N_257,PROTEIN
N_258,PROTEIN
N_259,PROTEIN
N_260,PROTEIN
N_261,PROTEIN
N_262,PROTEIN
N_263,PROTEIN
N_264,PROTEIN
N_265,PROTEIN
N_266,PROTEIN
N_267,PROTEIN
N_268,PROTEIN
N_269,PROTEIN
N_270,PROTEIN
N_271,PROTEIN
N_272,PROTEIN
N_273,PROTEIN
N_274,PROTEIN
N_275,PROTEIN
N_276,PROTEIN
N_277,PROTEIN
N_278,PROTEIN
N_279,PROTEIN
N_280,PROTEIN
N_281,PROTEIN
N_282,PROTEIN
N_283,PROTEIN
N_284,PROTEIN
N_285,PROTEIN
N_286,PROTEIN
N_287,PROTEIN
N_288,PROTEIN
N_289,PROTEIN
N_290,PROTEIN
N_291,PROTEIN
N_292,PROTEIN
N_293,PROTEIN
N_294,PROTEIN
N_295,PROTEIN
N_296,PROTEIN
N_297,PROTEIN
N_298,PROTEIN
N_299,PROTEIN
N_300,PROTEIN
N_301,PROTEIN
N_302,PROTEIN
N_303,PROTEIN
N_304,PROTEIN
N_305,PROTEIN
N_306,PROTEIN
N_307,PROTEIN
N_308,PROTEIN
N_309,PROTEIN
N_310,PROTEIN
N_311,PROTEIN
N_312,PROTEIN
N_313,PROTEIN
N_314,PROTEIN
N_315,PROTEIN
N_316,PROTEIN
N_317,PROTEIN
N_318,PROTEIN
N_319,PROTEIN
N_320,PROTEIN
N_321,PROTEIN
N_322,PROTEIN
N_323,PROTEIN
N_324,PROTEIN
N_325,PROTEIN
N_326,PROTEIN
N_327,PROTEIN
N_328,PROTEIN
N_329,PROTEIN
N_330,PROTEIN
N_331,PROTEIN
N_332,PROTEIN
N_333,PROTEIN
N_334,PROTEIN
N_335,PROTEIN
N_336,PROTEIN
N_337,PROTEIN
N_338,PROTEIN
N_339,PROTEIN
N_340,PROTEIN
N_341,PROTEIN
N_342,PROTEIN
N_343,PROTEIN
N_344,PROTEIN
N_345,PROTEIN
N_346,PROTEIN
N_347,PROTEIN
N_348,PROTEIN
N_349,PROTEIN
N_350,PROTEIN
N_351,PROTEIN
N_352,PROTEIN
N_353,PROTEIN
N_354,PROTEIN
N_355,PROTEIN
N_356,PROTEIN
N_357,PROTEIN
N_358,PROTEIN
N_359,PROTEIN
N_360,PROTEIN
N_361,PROTEIN
N_362,PROTEIN
N_363,PROTEIN
N_364,PROTEIN
N_365,PROTEIN
N_366,PROTEIN
N_367,PROTEIN
N_368,PROTEIN
N_369,PROTEIN
N_370,PROTEIN
N_371,PROTEIN
N_372,PROTEIN
N_373,PROTEIN
N_374,PROTEIN
N_375,PROTEIN
N_376,PROTEIN
N_377,PROTEIN
N_378,PROTEIN
N_379,PROTEIN
N_380,PROTEIN
N_381,PROTEIN
N_382,PROTEIN
N_383,PROTEIN
N_384,PROTEIN
N_385,PROTEIN
N_386,PROTEIN
N_387,PROTEIN
N_388,PROTEIN
N_389,PROTEIN
N_390,PROTEIN
N_391,PROTEIN
N_392,PROTEIN
N_393,PROTEIN
N_394,PROTEIN
N_395,PROTEIN
N_396,PROTEIN
N_397,PROTEIN
N_398,PROTEIN
N_399,PROTEIN
N_400,PROTEIN
N_401,PROTEIN
N_402,PROTEIN
N_403,PROTEIN
N_404,PROTEIN
N_405,PROTEIN
N_406,PROTEIN
N_407,PROTEIN
N_408,PROTEIN
N_409,PROTEIN
N_410,PROTEIN
N_411,PROTEIN
N_412,PROTEIN
N_413,PROTEIN
N_414,PROTEIN
N_415,PROTEIN
N_416,PROTEIN
N_417,PROTEIN
N_418,PROTEIN
N_419,PROTEIN
N_420,PROTEIN
N_421,PROTEIN
N_422,PROTEIN
N_423,PROTEIN
N_424,PROTEIN
N_425,PROTEIN
N_426,PROTEIN
N_427,PROTEIN
N_428,PROTEIN
N_429,PROTEIN
N_430,PROTEIN
N_431,PROTEIN
N_432,PROTEIN
N_433,PROTEIN
N_434,PROTEIN
N_435,PROTEIN
N_436,PROTEIN
N_437,PROTEIN
N_438,PROTEIN
N_439,PROTEIN
N_440,PROTEIN
N_441,PROTEIN
N_442,PROTEIN
N_443,PROTEIN
N_444,PROTEIN
N_445,PROTEIN
N_446,PROTEIN
N_447,PROTEIN
N_448,PROTEIN
N_449,PROTEIN
N_450,PROTEIN
N_451,PROTEIN
N_452,PROTEIN
N_453,PROTEIN
N_454,PROTEIN
N_455,PROTEIN
N_456,PROTEIN
N_457,PROTEIN
N_458,PROTEIN
N_459,PROTEIN
N_460,PROTEIN
N_461,PROTEIN
N_462,PROTEIN
N_463,PROTEIN
N_464,PROTEIN
N_465,PROTEIN
N_466,PROTEIN
N_467,PROTEIN
N_468,PROTEIN
N_469,PROTEIN
N_470,PROTEIN
N_471,PROTEIN
N_472,PROTEIN
N_473,PROTEIN
N_474,PROTEIN
N_475,PROTEIN
N_476,PROTEIN
N_477,PROTEIN
N_478,PROTEIN
N_479,PROTEIN
N_480,PROTEIN
N_481,PROTEIN
N_482,PROTEIN
N_483,PROTEIN
N_484,PROTEIN
N_485,PROTEIN
N_486,PROTEIN
N_487,PROTEIN
N_488,PROTEIN
N_489,PROTEIN
N_490,PROTEIN
N_491,PROTEIN
N_492,PROTEIN
N_493,PROTEIN
N_494,PROTEIN
N_495,PROTEIN
N_496,PROTEIN
N_497,PROTEIN
N_498,PROTEIN
N_499,PROTEIN
N_500,PROTEIN
N_501,PROTEIN
N_502,PROTEIN
N_503,PROTEIN
N_504,PROTEIN
N_505,PROTEIN
N_506,PROTEIN
N_507,PROTEIN
N_508,PROTEIN
N_509,PROTEIN
N_510,PROTEIN
N_511,PROTEIN
N_512,PROTEIN
N_513,PROTEIN
N_514,PROTEIN
N_515,PROTEIN
N_516,PROTEIN
N_517,PROTEIN
N_518,PROTEIN
N_519,PROTEIN
N_520,PROTEIN
N_521,PROTEIN
N_522,PROTEIN
N_523,PROTEIN
N_524,PROTEIN
N_525,PROTEIN
N_526,PROTEIN
N_527,PROTEIN
N_528,PROTEIN
N_529,PROTEIN
N_530,PROTEIN
N_531,PROTEIN
N_532,PROTEIN
N_533,PROTEIN
N_534,PROTEIN
N_535,PROTEIN
N_536,PROTEIN
N_537,PROTEIN
N_538,PROTEIN
N_539,PROTEIN
N_540,PROTEIN
N_541,PROTEIN
N_542,PROTEIN
N_543,PROTEIN
N_544,PROTEIN
N_545,PROTEIN
N_546,PROTEIN
N_547,PROTEIN
N_548,PROTEIN
N_549,PROTEIN
N_550,PROTEIN
N_551,PROTEIN
N_552,PROTEIN
N_553,PROTEIN
N_554,PROTEIN
N_555,PROTEIN
N_556,PROTEIN
N_557,PROTEIN
N_558,PROTEIN
N_559,PROTEIN
N_560,PROTEIN
N_561,PROTEIN
N_562,PROTEIN
N_563,PROTEIN
N_564,PROTEIN
N_565,PROTEIN
N_566,PROTEIN
N_567,PROTEIN
N_568,PROTEIN
N_569,PROTEIN
N_570,PROTEIN
N_571,PROTEIN
N_572,PROTEIN
N_573,PROTEIN
N_574,PROTEIN
N_575,PROTEIN
N_576,PROTEIN
N_577,PROTEIN
N_578,PROTEIN
N_579,PROTEIN
N_580,PROTEIN
N_581,PROTEIN
N_582,PROTEIN
N_583,PROTEIN
N_584,PROTEIN
N_585,PROTEIN
N_586,PROTEIN
N_587,PROTEIN
N_588,PROTEIN
N_589,PROTEIN
N_590,PROTEIN
N_591,PROTEIN
N_592,PROTEIN
N_593,PROTEIN
N_594,PROTEIN
N_595,PROTEIN
N_596,PROTEIN
N_597,PROTEIN
N_598,PROTEIN
N_599,PROTEIN
N_600,PROTEIN
N_601,PROTEIN
N_602,PROTEIN
N_603,PROTEIN
N_604,PROTEIN
N_605,PROTEIN
N_606,PROTEIN
N_607,PROTEIN
N_608,PROTEIN
N_609,PROTEIN
N_610,PROTEIN
N_611,PROTEIN
N_612,PROTEIN
N_613,PROTEIN
N_614,PROTEIN
N_615,PROTEIN
N_616,PROTEIN
N_617,PROTEIN
N_618,PROTEIN
N_619,PROTEIN
N_620,PROTEIN
N_621,PROTEIN
N_622,PROTEIN
N_623,PROTEIN
N_624,PROTEIN
N_625,PROTEIN
N_626,PROTEIN
N_627,PROTEIN
N_628,PROTEIN
N_629,PROTEIN
N_630,PROTEIN
N_631,PROTEIN
N_632,PROTEIN
N_633,PROTEIN
N_634,PROTEIN
N_635,PROTEIN
N_636,PROTEIN
N_637,PROTEIN
N_638,PROTEIN
N_639,PROTEIN
N_640,PROTEIN
N_641,PROTEIN
N_642,PROTEIN
N_643,PROTEIN
N_644,PROTEIN
N_645,PROTEIN
N_646,PROTEIN
N_647,PROTEIN
N_648,PROTEIN
N_649,PROTEIN
N_650,PROTEIN
N_651,PROTEIN
N_652,PROTEIN
N_653,PROTEIN
N_654,PROTEIN
N_655,PROTEIN
N_656,PROTEIN
N_657,PROTEIN
N_658,PROTEIN
N_659,PROTEIN
N_660,PROTEIN
N_661,PROTEIN
N_662,PROTEIN
N_663,PROTEIN
N_664,PROTEIN
N_665,PROTEIN
N_666,PROTEIN
N_667,PROTEIN
N_668,PROTEIN
N_669,PROTEIN
N_670,PROTEIN
N_671,PROTEIN
N_672,PROTEIN
N_673,PROTEIN
N_674,PROTEIN
N_675,PROTEIN
N_676,PROTEIN
N_677,PROTEIN
N_678,PROTEIN
N_679,PROTEIN
N_680,PROTEIN
N_681,PROTEIN
N_682,PROTEIN
N_683,PROTEIN
N_684,PROTEIN
N_685,PROTEIN
N_686,PROTEIN
N_687,PROTEIN
N_688,PROTEIN
N_689,PROTEIN
N_690,PROTEIN
N_691,PROTEIN
N_692,PROTEIN
N_693,PROTEIN
N_694,PROTEIN
N_695,PROTEIN
N_696,PROTEIN
N_697,PROTEIN
N_698,PROTEIN
N_699,PROTEIN
N_700,PROTEIN
N_701,PROTEIN
N_702,PROTEIN
N_703,PROTEIN
N_704,PROTEIN
N_705,PROTEIN
N_706,PROTEIN
N_707,PROTEIN
N_708,PROTEIN
N_709,PROTEIN
N_710,PROTEIN
N_711,PROTEIN
N_712,PROTEIN
N_713,PROTEIN
N_714,PROTEIN
N_715,PROTEIN
N_716,PROTEIN
N_717,PROTEIN
N_718,PROTEIN
N_719,PROTEIN
N_720,PROTEIN
N_721,PROTEIN
N_722,PROTEIN
N_723,PROTEIN
N_724,PROTEIN
N_725,PROTEIN
N_726,PROTEIN
N_727,PROTEIN
N_728,PROTEIN
N_729,PROTEIN
N_730,PROTEIN
N_731,PROTEIN
N_732,PROTEIN
N_733,PROTEIN
N_734,PROTEIN
N_735,PROTEIN
N_736,PROTEIN
N_737,PROTEIN
N_738,PROTEIN
N_739,PROTEIN
N_740,PROTEIN
N_741,PROTEIN
N_742,PROTEIN
N_743,PROTEIN
N_744,PROTEIN
N_745,PROTEIN
N_746,PROTEIN
N_747,PROTEIN
N_748,PROTEIN
N_749,PROTEIN
N_750,PROTEIN
N_751,PROTEIN
N_752,PROTEIN
N_753,PROTEIN
N_754,PROTEIN
N_755,PROTEIN
N_756,PROTEIN
N_757,PROTEIN
N_758,PROTEIN
N_759,PROTEIN
N_760,PROTEIN
N_761,PROTEIN
N_762,PROTEIN
N_763,PROTEIN
N_764,PROTEIN
N_765,PROTEIN
N_766,PROTEIN
N_767,PROTEIN
N_768,PROTEIN
N_769,PROTEIN
N_770,PROTEIN
N_771,PROTEIN
N_772,PROTEIN
N_773,PROTEIN
N_774,PROTEIN
N_775,PROTEIN
N_776,PROTEIN
N_777,PROTEIN
N_778,PROTEIN
N_779,PROTEIN
N_780,PROTEIN
N_781,PROTEIN
N_782,PROTEIN
N_783,PROTEIN
N_784,PROTEIN
N_785,PROTEIN
N_786,PROTEIN
N_787,PROTEIN
N_788,PROTEIN
N_789,PROTEIN
N_790,PROTEIN
N_791,PROTEIN
N_792,PROTEIN
N_793,PROTEIN
N_794,PROTEIN
N_795,PROTEIN
N_796,PROTEIN
N_797,PROTEIN
N_798,PROTEIN
N_799,PROTEIN
N_800,PROTEIN
N_801,PROTEIN
N_802,PROTEIN
N_803,PROTEIN
N_804,PROTEIN
N_805,PROTEIN
N_806,PROTEIN
N_807,PROTEIN
N_808,PROTEIN
N_809,PROTEIN
N_810,PROTEIN
N_811,PROTEIN
N_812,PROTEIN
N_813,PROTEIN
N_814,PROTEIN
N_815,PROTEIN
N_816,PROTEIN
N_817,PROTEIN
N_818,PROTEIN
N_819,PROTEIN
N_820,PROTEIN
N_821,PROTEIN
N_822,PROTEIN
N_823,PROTEIN
N_824,PROTEIN
N_825,PROTEIN
N_826,PROTEIN
N_827,PROTEIN
N_828,PROTEIN
N_829,PROTEIN
N_830,PROTEIN
N_831,PROTEIN
N_832,PROTEIN
N_833,PROTEIN
N_834,PROTEIN
N_835,PROTEIN
N_836,PROTEIN
N_837,PROTEIN
N_838,PROTEIN
N_839,PROTEIN
N_840,PROTEIN
N_841,PROTEIN
N_842,PROTEIN
N_843,PROTEIN
N_844,PROTEIN
N_845,PROTEIN
N_846,PROTEIN
N_847,PROTEIN
N_848,PROTEIN
N_849,PROTEIN
N_850,PROTEIN
N_851,PROTEIN
N_852,PROTEIN
N_853,PROTEIN
N_854,PROTEIN
N_855,PROTEIN
N_856,PROTEIN
N_857,PROTEIN
N_858,PROTEIN
N_859,PROTEIN
N_860,PROTEIN
N_861,PROTEIN
N_862,PROTEIN
N_863,PROTEIN
N_864,PROTEIN
N_865,PROTEIN
N_866,PROTEIN
N_867,PROTEIN
N_868,PROTEIN
N_869,PROTEIN
N_870,PROTEIN
N_871,PROTEIN
N_872,PROTEIN
N_873,PROTEIN
N_874,PROTEIN
N_875,PROTEIN
N_876,PROTEIN
N_877,PROTEIN
N_878,PROTEIN
N_879,PROTEIN
N_880,PROTEIN
N_881,PROTEIN
N_882,PROTEIN
N_883,PROTEIN
N_884,PROTEIN
N_885,PROTEIN
N_886,PROTEIN
N_887,PROTEIN
N_888,PROTEIN
N_889,PROTEIN
N_890,PROTEIN
N_891,PROTEIN
N_892,PROTEIN
N_893,PROTEIN
N_894,PROTEIN
N_895,PROTEIN
N_896,PROTEIN
N_897,PROTEIN
N_898,PROTEIN
N_899,PROTEIN
N_900,PROTEIN
N_901,PROTEIN
N_902,PROTEIN
N_903,PROTEIN
N_904,PROTEIN
N_905,PROTEIN
N_906,PROTEIN
N_907,PROTEIN
N_908,PROTEIN
N_909,PROTEIN
N_910,PROTEIN
N_911,PROTEIN
N_912,PROTEIN
N_913,PROTEIN
N_914,PROTEIN
N_915,PROTEIN
N_916,PROTEIN
N_917,PROTEIN
N_918,PROTEIN
N_919,PROTEIN
N_920,PROTEIN
N_921,PROTEIN
N_922,PROTEIN
N_923,PROTEIN
N_924,PROTEIN
N_925,PROTEIN
N_926,PROTEIN
N_927,PROTEIN
N_928,PROTEIN
N_929,PROTEIN
N_930,PROTEIN
N_931,PROTEIN
N_932,PROTEIN
N_933,PROTEIN
N_934,PROTEIN
N_935,PROTEIN
N_936,PROTEIN
N_937,PROTEIN
N_938,PROTEIN
N_939,PROTEIN
N_940,PROTEIN
N_941,PROTEIN
N_942,PROTEIN
N_943,PROTEIN
N_944,PROTEIN
N_945,PROTEIN
N_946,PROTEIN
N_947,PROTEIN
N_948,PROTEIN
N_949,PROTEIN
N_950,PROTEIN
N_951,PROTEIN
N_952,PROTEIN
N_953,PROTEIN
N_954,PROTEIN
N_955,PROTEIN
N_956,PROTEIN
N_957,PROTEIN
N_958,PROTEIN
N_959,PROTEIN
N_960,PROTEIN
N_961,PROTEIN
N_962,PROTEIN
N_963,PROTEIN
N_964,PROTEIN
N_965,PROTEIN
N_966,PROTEIN
N_967,PROTEIN
N_968,PROTEIN
N_969,PROTEIN
N_970,PROTEIN
N_971,PROTEIN
N_972,PROTEIN
N_973,PROTEIN
N_974,PROTEIN
N_975,PROTEIN
N_976,PROTEIN
N_977,PROTEIN
N_978,PROTEIN
N_979,PROTEIN
N_980,PROTEIN
N_981,PROTEIN
N_982,PROTEIN
N_983,PROTEIN
N_984,PROTEIN
N_985,PROTEIN
N_986,PROTEIN
N_987,PROTEIN
N_988,PROTEIN
N_989,PROTEIN
N_990,PROTEIN
N_991,PROTEIN
N_992,PROTEIN
N_993,PROTEIN
N_994,PROTEIN
N_995,PROTEIN
N_996,PROTEIN
N_997,PROTEIN
N_998,PROTEIN
N_999,PROTEIN
N_1000,PROTEIN
N_1001,PROTEIN
N_1002,PROTEIN
N_1003,PROTEIN
N_1004,PROTEIN
N_1005,PROTEIN
N_1006,PROTEIN
N_1007,PROTEIN
N_1008,PROTEIN
N_1009,PROTEIN
N_1010,PROTEIN
N_1011,PROTEIN
N_1012,PROTEIN
N_1013,PROTEIN
N_1014,PROTEIN
N_1015,PROTEIN
N_1016,PROTEIN
N_1017,PROTEIN
N_1018,PROTEIN
N_1019,PROTEIN
N_1020,PROTEIN
N_1021,PROTEIN
N_1022,PROTEIN
N_1023,PROTEIN
N_1024,PROTEIN
N_1025,PROTEIN
N_1026,PROTEIN
N_1027,PROTEIN
N_1028,PROTEIN
N_1029,PROTEIN
N_1030,PROTEIN
N_1031,PROTEIN
N_1032,PROTEIN
N_1033,PROTEIN
N_1034,PROTEIN
N_1035,PROTEIN
N_1036,PROTEIN
N_1037,PROTEIN
N_1038,PROTEIN
N_1039,PROTEIN
N_1040,PROTEIN
N_1041,PROTEIN
N_1042,PROTEIN
N_1043,PROTEIN
N_1044,PROTEIN
N_1045,PROTEIN
N_1046,PROTEIN
N_1047,PROTEIN
N_1048,PROTEIN
N_1049,PROTEIN
N_1050,PROTEIN
N_1051,PROTEIN
N_1052,PROTEIN
N_1053,PROTEIN
N_1054,PROTEIN
N_1055,PROTEIN
N_1056,PROTEIN
N_1057,PROTEIN
N_1058,PROTEIN
N_1059,PROTEIN
N_1060,PROTEIN
N_1061,PROTEIN
N_1062,PROTEIN
N_1063,PROTEIN
N_1064,PROTEIN
N_1065,PROTEIN
N_1066,PROTEIN
N_1067,PROTEIN
N_1068,PROTEIN
N_1069,PROTEIN
N_1070,PROTEIN
N_1071,PROTEIN
N_1072,PROTEIN
N_1073,PROTEIN
N_1074,PROTEIN
N_1075,PROTEIN
N_1076,PROTEIN
N_1077,PROTEIN
N_1078,PROTEIN
N_1079,PROTEIN
N_1080,PROTEIN
N_1081,PROTEIN
N_1082,PROTEIN
N_1083,PROTEIN
N_1084,PROTEIN
N_1085,PROTEIN
N_1086,PROTEIN
N_1087,PROTEIN
N_1088,PROTEIN
N_1089,PROTEIN
N_1090,PROTEIN
N_1091,PROTEIN
N_1092,PROTEIN
N_1093,PROTEIN
N_1094,PROTEIN
N_1095,PROTEIN
N_1096,PROTEIN
N_1097,PROTEIN
N_1098,PROTEIN
N_1099,PROTEIN
N_1100,PROTEIN
N_1101,PROTEIN
N_1102,PROTEIN
N_1103,PROTEIN
N_1104,PROTEIN
N_1105,PROTEIN
N_1106,PROTEIN
N_1107,PROTEIN
N_1108,PROTEIN
N_1109,PROTEIN
N_1110,PROTEIN
N_1111,PROTEIN
N_1112,PROTEIN
N_1113,PROTEIN
N_1114,PROTEIN
N_1115,PROTEIN
N_1116,PROTEIN
N_1117,PROTEIN
N_1118,PROTEIN
N_1119,PROTEIN
N_1120,PROTEIN
N_1121,PROTEIN
N_1122,PROTEIN
N_1123,PROTEIN
N_1124,PROTEIN
N_1125,PROTEIN
N_1126,PROTEIN
N_1127,PROTEIN
N_1128,PROTEIN
N_1129,PROTEIN
N_1130,PROTEIN
N_1131,PROTEIN
N_1132,PROTEIN
N_1133,PROTEIN
N_1134,PROTEIN
N_1135,PROTEIN
N_1136,PROTEIN
N_1137,PROTEIN
N_1138,PROTEIN
N_1139,PROTEIN
N_1140,PROTEIN
N_1141,PROTEIN
N_1142,PROTEIN
N_1143,PROTEIN
N_1144,PROTEIN
N_1145,PROTEIN
N_1146,PROTEIN
N_1147,PROTEIN
N_1148,PROTEIN
N_1149,PROTEIN
N_1150,PROTEIN
N_1151,PROTEIN
N_1152,PROTEIN
N_1153,PROTEIN
N_1154,PROTEIN
N_1155,PROTEIN
N_1156,PROTEIN
N_1157,PROTEIN
N_1158,PROTEIN
N_1159,PROTEIN
N_1160,PROTEIN
N_1161,PROTEIN
N_1162,PROTEIN
N_1163,PROTEIN
N_1164,PROTEIN
N_1165,PROTEIN
N_1166,PROTEIN
N_1167,PROTEIN
N_1168,PROTEIN
N_1169,PROTEIN
N_1170,PROTEIN
N_1171,PROTEIN
N_1172,PROTEIN
N_1173,PROTEIN
N_1174,PROTEIN
N_1175,PROTEIN
N_1176,PROTEIN
N_1177,PROTEIN
N_1178,PROTEIN
N_1179,PROTEIN
N_1180,PROTEIN
N_1181,PROTEIN
N_1182,PROTEIN
N_1183,PROTEIN
N_1184,PROTEIN
N_1185,PROTEIN
N_1186,PROTEIN
N_1187,PROTEIN
N_1188,PROTEIN
N_1189,PROTEIN
N_1190,PROTEIN
N_1191,PROTEIN
N_1192,PROTEIN
N_1193,PROTEIN
N_1194,PROTEIN
N_1195,PROTEIN
N_1196,PROTEIN
N_1197,PROTEIN
N_1198,PROTEIN
N_1199,PROTEIN
N_1200,PROTEIN
N_1201,PROTEIN
N_1202,PROTEIN
N_1203,PROTEIN
N_1204,PROTEIN
N_1205,PROTEIN
N_1206,PROTEIN
N_1207,PROTEIN
N_1208,PROTEIN
N_1209,PROTEIN
N_1210,PROTEIN
N_1211,PROTEIN
N_1212,PROTEIN
N_1213,PROTEIN
N_1214,PROTEIN
N_1215,PROTEIN
N_1216,PROTEIN
N_1217,PROTEIN
N_1218,PROTEIN
N_1219,PROTEIN
N_1220,PROTEIN
N_1221,PROTEIN
N_1222,PROTEIN
N_1223,PROTEIN
N_1224,PROTEIN
N_1225,PROTEIN
N_1226,PROTEIN
N_1227,PROTEIN
N_1228,PROTEIN
N_1229,PROTEIN
N_1230,PROTEIN
N_1231,PROTEIN
N_1232,PROTEIN
N_1233,PROTEIN
N_1234,PROTEIN
N_1235,PROTEIN
N_1236,PROTEIN
N_1237,PROTEIN
N_1238,PROTEIN
N_1239,PROTEIN
N_1240,PROTEIN
N_1241,PROTEIN
N_1242,PROTEIN
N_1243,PROTEIN
N_1244,PROTEIN
N_1245,PROTEIN
N_1246,PROTEIN
N_1247,PROTEIN
